Israeli Acute Paralysis Virus,IAPV,,http://www.ncbi.nlm.nih.gov/genome/?term=israeli%20acute%20paralysis%20virus,NC_009025.1
Acute Bee Paralysis Virus,ABPV,,http://www.ncbi.nlm.nih.gov/genome?term=acute%20bee%20paralysis%20virus,NC_002548.1
Kashmir Bee Virus,KBV,,http://www.ncbi.nlm.nih.gov/genome?term=kashmir%20bee%20virus,NC_004807.1
Deformed Wing Virus,DWV,,http://www.ncbi.nlm.nih.gov/genome/5055,NC_004830.2
Varroa Destructor Virus 1,VDV-1,,http://www.ncbi.nlm.nih.gov/genome?term=Varroa%20Destructor%20Virus%201,NC_006494.1
Black Queen Cell Virus,BQCV,,http://www.ncbi.nlm.nih.gov/genome?term=Black%20Queen%20Cell%20Virus,NC_003784.1
Sacbrood Virus,SBV,,http://www.ncbi.nlm.nih.gov/genome?term=Sacbrood%20Virus,NC_002066.1
Chronic Paralysis Virus,CPV,RNA 1,http://www.ncbi.nlm.nih.gov/genome?term=Chronic%20Paralysis%20Virus,NC_010711.1
Chronic Paralysis Virus,CPV,RNA 2,http://www.ncbi.nlm.nih.gov/genome?term=Chronic%20Paralysis%20Virus,NC_010712.1
Bee Macula-like virus,BeeMLV,878V,http://www.ncbi.nlm.nih.gov/nuccore/NC_027631.1,NC_027631.1
Slow Bee Paralysis Virus,SBPV,,http://www.ncbi.nlm.nih.gov/nuccore/NC_014137.1,NC_014137.1
Lake sinai virus,LSV1,Strain-1,http://www.ncbi.nlm.nih.gov/nuccore/KM886905.1,KM886905.1
Lake sinai virus,LSV2,Strain-2,http://www.ncbi.nlm.nih.gov/nuccore/HQ888865.2,HQ888865.2